Tue Jul 17 2018 17:08:24 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: const func = require (‘./functions/func.js’)
Tue Jul 17 2018 17:08:25 GMT+0800 (+08) | Faraway Drifted Kingdom | general: Jerry#6061: zechtens fortniting
Tue Jul 17 2018 17:08:29 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: ya?>
Tue Jul 17 2018 17:08:39 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: need.js
Tue Jul 17 2018 17:08:50 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: no need?
Tue Jul 17 2018 17:08:51 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.help
Tue Jul 17 2018 17:08:52 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: it works
Tue Jul 17 2018 17:08:53 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: ?
Tue Jul 17 2018 17:08:57 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: turtle#1082: ok
Tue Jul 17 2018 17:09:37 GMT+0800 (+08) | Faraway Drifted Kingdom | pokemon-adventures: MasterDeemo#7432: pcatch gastly
Tue Jul 17 2018 17:09:41 GMT+0800 (+08) | Faraway Drifted Kingdom | pokemon-adventures: MasterDeemo#7432: ppokemon --name gastly
Tue Jul 17 2018 17:11:35 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:11:37 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: hmmMM
Tue Jul 17 2018 17:11:38 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: THIS IS WEIRD
Tue Jul 17 2018 17:11:46 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.reload
Tue Jul 17 2018 17:12:04 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Willa#1866: UR WEIRD
Tue Jul 17 2018 17:12:09 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:12:11 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: WTF
Tue Jul 17 2018 17:12:12 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: WHY ISNT IT
Tue Jul 17 2018 17:12:14 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: AAAAA
Tue Jul 17 2018 17:12:30 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: t.reload
Tue Jul 17 2018 17:12:38 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: <@463644074528997376>
Tue Jul 17 2018 17:12:39 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: pls
Tue Jul 17 2018 17:12:39 GMT+0800 (+08) | Faraway Drifted Kingdom | coding-stuff: Tiger#5216: DUDE
